Store ID,Order Placed Date,Source ID,Employee ID,Order Taken Date,Order ID,Sub Total,Order Total
1,8/9/2019 19:11,9,213928,8/9/2019 19:09,293579,28.49,30.38
1,8/9/2019 19:14,9,213928,8/9/2019 19:14,293580,1,1.07
1,8/9/2019 19:15,9,213928,8/9/2019 19:14,293581,12,12.8
1,8/9/2019 19:22,9,213928,8/9/2019 19:19,293582,1.79,1.91
1,8/9/2019 19:27,9,213928,8/9/2019 19:25,293583,31,33.05
1,8/9/2019 19:27,9,213928,8/9/2019 19:27,293584,14,14.93
1,8/9/2019 19:29,9,213928,8/9/2019 19:28,293585,4.75,5.06
1,8/9/2019 19:30,9,213928,8/9/2019 19:30,293586,14,14.93
1,8/9/2019 19:33,9,213928,8/9/2019 19:33,293588,6,6.4
1,8/9/2019 19:36,9,213928,8/9/2019 19:34,293589,27,28.79
1,8/9/2019 19:36,11,213928,8/9/2019 19:36,293590,7.78,8.3
1,8/9/2019 19:39,9,213928,8/9/2019 19:39,293591,6,6.4
1,8/9/2019 20:08,9,213928,8/9/2019 19:37,293592,29.75,31.72
1,8/9/2019 19:40,9,213928,8/9/2019 19:40,293593,9,9.6
1,8/9/2019 19:42,9,213928,8/9/2019 19:41,293594,16.75,17.86
1,8/9/2019 19:45,9,213928,8/9/2019 19:44,293595,11.99,12.78
1,8/9/2019 19:49,9,213928,8/9/2019 19:49,293596,7.79,8.31
1,8/9/2019 19:50,9,213928,8/9/2019 19:50,293597,6,6.4
1,8/9/2019 19:52,9,213928,8/9/2019 19:51,293598,9,9.6
1,8/9/2019 19:52,9,213928,8/9/2019 19:52,293599,5.99,6.39
1,8/9/2019 19:53,9,213928,8/9/2019 19:52,293600,1.79,1.91
1,8/9/2019 20:34,9,213928,8/9/2019 19:57,293601,19,20.26
1,8/9/2019 20:02,11,213928,8/9/2019 20:01,293602,5.99,6.39
1,8/9/2019 20:03,9,213928,8/9/2019 19:55,293603,28.25,30.12
1,8/9/2019 20:20,9,213928,8/9/2019 20:05,293604,6,6.4
1,8/9/2019 20:06,9,213928,8/9/2019 20:06,293605,20.5,21.86
1,8/9/2019 20:12,9,213928,8/9/2019 20:11,293606,12,12.8
1,8/9/2019 20:14,9,213928,8/9/2019 20:13,293607,20.25,21.59
1,8/9/2019 20:17,9,213928,8/9/2019 20:16,293608,6,6.4
1,8/9/2019 20:21,9,213928,8/9/2019 20:21,293609,6,6.4
1,8/9/2019 20:24,9,213928,8/9/2019 20:22,293610,24.99,26.65
1,8/9/2019 21:11,9,213928,8/9/2019 20:33,293611,6,6.4
1,8/9/2019 20:24,9,213928,8/9/2019 20:24,293612,5.99,6.39
1,8/9/2019 20:26,9,213928,8/9/2019 20:25,293613,10.79,11.5
1,8/9/2019 20:27,9,213928,8/9/2019 20:26,293614,11.99,12.78
1,8/9/2019 20:28,9,213928,8/9/2019 20:27,293615,11,11.73
1,8/9/2019 20:30,9,213928,8/9/2019 20:29,293616,11.25,12
1,8/9/2019 20:31,9,213928,8/9/2019 20:31,293617,17.99,19.18
1,8/9/2019 20:36,9,213928,8/9/2019 20:36,293619,6,6.4
1,8/9/2019 20:36,9,213928,8/9/2019 20:36,293620,6,6.4
1,8/9/2019 20:38,9,213928,8/9/2019 20:37,293621,11.99,12.78
1,8/9/2019 20:39,9,213928,8/9/2019 20:39,293622,12,12.8
1,8/9/2019 20:40,9,213928,8/9/2019 20:40,293623,18,19.19
1,8/9/2019 20:43,9,213928,8/9/2019 20:43,293624,7.79,8.31
1,8/9/2019 20:44,9,213928,8/9/2019 20:43,293625,6,6.4
1,8/9/2019 20:50,9,213928,8/9/2019 20:50,293627,6,6.4
1,8/9/2019 20:52,9,213928,8/9/2019 20:52,293628,6,6.4
1,8/9/2019 20:57,9,213928,8/9/2019 20:57,293629,6,6.4
1,8/9/2019 21:11,9,213928,8/9/2019 21:10,293630,9,9.6
1,8/9/2019 21:12,9,213928,8/9/2019 21:12,293631,4,4.27
1,8/9/2019 21:15,9,213928,8/9/2019 21:15,293632,6,6.4
1,8/9/2019 21:18,9,213928,8/9/2019 21:17,293633,5.99,6.39
1,8/9/2019 21:20,9,213928,8/9/2019 21:20,293634,6,6.4
1,8/9/2019 21:44,9,213928,8/9/2019 21:43,293635,14.69,15.66
1,8/9/2019 21:50,9,213928,8/9/2019 21:49,293636,10.79,11.5
1,8/9/2019 21:58,9,213928,8/9/2019 21:57,293637,6.54,6.97
1,8/9/2019 22:00,9,213928,8/9/2019 21:59,293638,6,6.4
1,8/9/2019 22:02,9,213928,8/9/2019 22:01,293639,14.49,15.45
1,8/9/2019 22:08,9,213928,8/9/2019 22:08,293641,6,6.4
1,8/9/2019 22:15,9,213928,8/9/2019 22:14,293642,5.99,6.39
1,8/9/2019 22:18,9,213928,8/9/2019 22:18,293643,8.68,9.26
1,8/9/2019 22:19,9,213928,8/9/2019 22:19,293644,7.79,8.31
1,8/9/2019 22:21,9,213928,8/9/2019 22:20,293645,11.99,12.78
1,8/9/2019 22:22,9,213928,8/9/2019 22:21,293646,1,1.07
1,8/9/2019 22:22,9,213928,8/9/2019 22:22,293647,9,9.6
1,8/9/2019 22:25,9,213928,8/9/2019 22:24,293648,15.5,16.53
1,8/9/2019 22:38,9,213928,8/9/2019 22:35,293649,11.98,12.77
1,8/9/2019 22:38,9,213928,8/9/2019 22:38,293650,13.58,14.48
2,8/9/2019 11:10,8,212115,8/9/2019 11:10,193627,5,5.4
2,8/9/2019 11:16,8,212115,8/9/2019 11:14,193628,40,43.2
2,8/9/2019 11:25,8,212115,8/9/2019 11:24,193630,15.5,16.74
2,8/9/2019 11:58,8,212115,8/9/2019 11:57,193632,5,5.4
2,8/9/2019 12:01,8,212115,8/9/2019 12:00,193633,11.5,12.42
2,8/9/2019 12:04,8,212115,8/9/2019 12:04,193634,6,6.48
2,8/9/2019 12:58,8,212115,8/9/2019 12:09,193635,36,38.88
2,8/9/2019 12:17,8,212115,8/9/2019 12:17,193636,5,5.4
2,8/9/2019 12:19,8,212115,8/9/2019 12:18,193637,6.5,7.02
2,8/9/2019 12:24,8,212115,8/9/2019 12:24,193638,4.75,5.13
2,8/9/2019 12:27,,199,8/9/2019 12:27,193639,5,5.4
2,8/9/2019 12:31,8,212115,8/9/2019 12:30,193640,5,5.4
2,8/9/2019 12:51,8,212115,8/9/2019 12:50,193641,10,10.8
2,8/9/2019 12:55,8,212115,8/9/2019 12:55,193642,5,5.4
