Store ID,Transaction Type,Amount,Transaction Count,Date
38,Alt. Currency,0,0,8/5/2019
37,Alt. Currency,0,0,8/5/2019
23,Alt. Currency,0,0,8/5/2019
22,Alt. Currency,0,0,8/5/2019
21,Alt. Currency,0,0,8/5/2019
20,Alt. Currency,0,0,8/5/2019
19,Alt. Currency,0,0,8/5/2019
12,Alt. Currency,0,0,8/5/2019
11,Alt. Currency,0,0,8/5/2019
10,Alt. Currency,0,0,8/5/2019
6,Alt. Currency,0,0,8/5/2019
3,Alt. Currency,0,0,8/5/2019
2,Alt. Currency,0,0,8/5/2019
1,Alt. Currency,0,0,8/5/2019
41,PO,0,0,8/4/2019
40,PO,0,0,8/4/2019
39,PO,0,0,8/4/2019
38,PO,0,0,8/4/2019
37,PO,0,0,8/4/2019
23,PO,0,0,8/4/2019
22,PO,0,0,8/4/2019
21,PO,0,0,8/4/2019
20,PO,0,0,8/4/2019
19,PO,0,0,8/4/2019
12,PO,0,0,8/4/2019
11,PO,0,0,8/4/2019
10,PO,0,0,8/4/2019
6,PO,0,0,8/4/2019
3,PO,0,0,8/4/2019
2,PO,0,0,8/4/2019
1,PO,0,0,8/4/2019
41,Other,0,0,8/4/2019
40,Other,0,0,8/4/2019
39,Other,0,0,8/4/2019
38,Other,0,0,8/4/2019
37,Other,0,0,8/4/2019
23,Other,0,0,8/4/2019
22,Other,0,0,8/4/2019
21,Other,0,0,8/4/2019
20,Other,0,0,8/4/2019
19,Other,0,0,8/4/2019
12,Other,0,0,8/4/2019
11,Other,0,0,8/4/2019
10,Other,0,0,8/4/2019
6,Other,0,0,8/4/2019
3,Other,0,0,8/4/2019
2,Other,0,0,8/4/2019
1,Other,0,0,8/4/2019
41,Notas,0,0,8/4/2019
40,Notas,0,0,8/4/2019
39,Notas,0,0,8/4/2019
38,Notas,0,0,8/4/2019
37,Notas,0,0,8/4/2019
23,Notas,0,0,8/4/2019
22,Notas,0,0,8/4/2019
21,Notas,0,0,8/4/2019
20,Notas,0,0,8/4/2019
19,Notas,0,0,8/4/2019
12,Notas,0,0,8/4/2019
11,Notas,0,0,8/4/2019
10,Notas,0,0,8/4/2019
6,Notas,0,0,8/4/2019
3,Notas,0,0,8/4/2019
2,Notas,0,0,8/4/2019
1,Notas,0,0,8/4/2019
41,Manual Credit,0,0,8/4/2019
40,Manual Credit,0,0,8/4/2019
39,Manual Credit,0,0,8/4/2019
38,Manual Credit,0,0,8/4/2019
37,Manual Credit,0,0,8/4/2019
23,Manual Credit,0,0,8/4/2019
22,Manual Credit,0,0,8/4/2019
21,Manual Credit,0,0,8/4/2019
20,Manual Credit,0,0,8/4/2019
19,Manual Credit,0,0,8/4/2019
12,Manual Credit,0,0,8/4/2019
11,Manual Credit,0,0,8/4/2019
10,Manual Credit,0,0,8/4/2019
6,Manual Credit,0,0,8/4/2019
3,Manual Credit,0,0,8/4/2019
2,Manual Credit,0,0,8/4/2019
1,Manual Credit,0,0,8/4/2019
41,Gift Card,0,0,8/4/2019
40,Gift Card,0,0,8/4/2019
39,Gift Card,0,0,8/4/2019
38,Gift Card,0,0,8/4/2019
37,Gift Card,0,0,8/4/2019
23,Gift Card,0,0,8/4/2019
22,Gift Card,0,0,8/4/2019
21,Gift Card,15.46,2,8/4/2019
20,Gift Card,0,0,8/4/2019
19,Gift Card,0,0,8/4/2019
12,Gift Card,0,0,8/4/2019
11,Gift Card,0,0,8/4/2019
10,Gift Card,0,0,8/4/2019
6,Gift Card,0,0,8/4/2019
3,Gift Card,0,0,8/4/2019
2,Gift Card,0,0,8/4/2019
1,Gift Card,0,0,8/4/2019
41,EPay,262.05,11,8/4/2019
40,EPay,73.54,6,8/4/2019
39,EPay,43.5,3,8/4/2019
38,EPay,62.83,3,8/4/2019
37,EPay,42.4,2,8/4/2019
23,EPay,128.45,9,8/4/2019
22,EPay,141.66,8,8/4/2019
21,EPay,236.56,12,8/4/2019
20,EPay,327.02,17,8/4/2019
19,EPay,85.34,5,8/4/2019
12,EPay,41.58,4,8/4/2019
11,EPay,36.18,4,8/4/2019
10,EPay,100.45,6,8/4/2019
6,EPay,163.8,11,8/4/2019
3,EPay,10.8,1,8/4/2019
2,EPay,76.67,6,8/4/2019
1,EPay,96.75,8,8/4/2019
41,EBT,0,0,8/4/2019
40,EBT,0,0,8/4/2019
39,EBT,0,0,8/4/2019
38,EBT,0,0,8/4/2019
37,EBT,0,0,8/4/2019
23,EBT,0,0,8/4/2019
22,EBT,0,0,8/4/2019
21,EBT,0,0,8/4/2019
20,EBT,0,0,8/4/2019
19,EBT,0,0,8/4/2019
12,EBT,0,0,8/4/2019
11,EBT,0,0,8/4/2019
10,EBT,0,0,8/4/2019
6,EBT,0,0,8/4/2019
3,EBT,0,0,8/4/2019
2,EBT,0,0,8/4/2019
1,EBT,0,0,8/4/2019
41,Debit,0,0,8/4/2019
40,Debit,0,0,8/4/2019
39,Debit,0,0,8/4/2019
38,Debit,0,0,8/4/2019
37,Debit,0,0,8/4/2019
23,Debit,0,0,8/4/2019
22,Debit,0,0,8/4/2019
21,Debit,0,0,8/4/2019
20,Debit,0,0,8/4/2019
19,Debit,0,0,8/4/2019
12,Debit,0,0,8/4/2019
11,Debit,0,0,8/4/2019
10,Debit,0,0,8/4/2019
6,Debit,0,0,8/4/2019
3,Debit,0,0,8/4/2019
2,Debit,0,0,8/4/2019
1,Debit,0,0,8/4/2019
41,Cust. Account,0,0,8/4/2019
40,Cust. Account,0,0,8/4/2019
39,Cust. Account,0,0,8/4/2019
38,Cust. Account,0,0,8/4/2019
37,Cust. Account,0,0,8/4/2019
23,Cust. Account,0,0,8/4/2019
22,Cust. Account,0,0,8/4/2019
21,Cust. Account,0,0,8/4/2019
20,Cust. Account,0,0,8/4/2019
19,Cust. Account,0,0,8/4/2019
12,Cust. Account,0,0,8/4/2019
11,Cust. Account,0,0,8/4/2019
10,Cust. Account,0,0,8/4/2019
6,Cust. Account,0,0,8/4/2019
3,Cust. Account,0,0,8/4/2019
2,Cust. Account,0,0,8/4/2019
1,Cust. Account,0,0,8/4/2019
41,Credit,506.71,41,8/4/2019
40,Credit,336.4,29,8/4/2019
39,Credit,843.65,75,8/4/2019
38,Credit,254.33,24,8/4/2019
37,Credit,491.88,45,8/4/2019
23,Credit,447.7,39,8/4/2019
22,Credit,423.31,28,8/4/2019
21,Credit,561.3,46,8/4/2019
20,Credit,1058.29,87,8/4/2019
19,Credit,554.85,39,8/4/2019
12,Credit,451.29,41,8/4/2019
11,Credit,627.14,57,8/4/2019
10,Credit,452.78,40,8/4/2019
6,Credit,586.41,54,8/4/2019
3,Credit,873.39,69,8/4/2019
2,Credit,219.51,23,8/4/2019
1,Credit,643.49,38,8/4/2019
41,Checks,0,0,8/4/2019
40,Checks,0,0,8/4/2019
39,Checks,0,0,8/4/2019
38,Checks,0,0,8/4/2019
37,Checks,0,0,8/4/2019
23,Checks,0,0,8/4/2019
22,Checks,0,0,8/4/2019
21,Checks,0,0,8/4/2019
20,Checks,0,0,8/4/2019
19,Checks,0,0,8/4/2019
12,Checks,0,0,8/4/2019
11,Checks,0,0,8/4/2019
10,Checks,0,0,8/4/2019
6,Checks,0,0,8/4/2019
3,Checks,0,0,8/4/2019
